  <!-- Bad suggestions, remove next time round:
nedadgående ::: geerve
smart ::: vihtehks
smart ::: jearmijes
langsiktig ::: staeries
real ::: saetnies
tilfreds ::: feejjene
finansiell ::: ræjhkoes
finansiell ::: ekonomihkeles
uverdig ::: prarrohke
uverdig ::: geerve
nedslått ::: håjnoes
nedslått ::: hujnies
langvarig ::: tjevties
langvarig ::: staeries
opphetet ::: lïemkeds
opphetet ::: bïjveles
menneskelig ::: faepeles
menneskelig ::: sjiehteles
menneskelig ::: dåajmijes
menneskelig ::: vietseles
menneskelig ::: garkeles
voldsom ::: tjamke
voldsom ::: veaksehks
voldsom ::: isvelihks
voldsom ::: raavtehtje
voldsom ::: garre
voldsom ::: raavteres
voldsom ::: nænnoes
enorm ::: isvelihks
enorm ::: ovnuvhtege
fæl ::: vååvnehke
utsatt ::: hiejjehts
utsatt ::: dasmoes
utsatt ::: dåsmoes
permanent ::: tjevties
permanent ::: staeries
ydmyk ::: hiejjehts
ydmyk ::: lïemkeds
ydmyk ::: dasmoes
ydmyk ::: bïjveles
ydmyk ::: dåsmoes
åndelig ::: mentaale
åndelig ::: lohkijes
skarp ::: væjkeles
skarp ::: maehtehtje
skarp ::: tjiehpies
synkende ::: geerve
fremtidsrettet ::: båetije
immateriell ::: mentaale
immateriell ::: lohkijes
robust ::: stonkes
robust ::: stunkes
robust ::: gæhtjoeh
allsidig ::: joekehth
allsidig ::: joekehts-laakan
selvstendig ::: væjkeles
selvstendig ::: maehtehtje
selvstendig ::: veaksehks
selvstendig ::: raavtehtje
selvstendig ::: tjiehpies
selvstendig ::: raavteres
selvstendig ::: nænnoes
blinkende ::: gijkedh
mangelfull ::: faatoes
oppegående ::: væjkeles
oppegående ::: jïermijes
oppegående ::: jiermege
oppegående ::: vijsies
oppegående ::: jearmijes
kompetent ::: gyönegs
kompetent ::: vyörtegs
sped ::: njoetjeles
sped ::: siegkies
sped ::: giedtsies
sped ::: jissehts
sped ::: gaertjies
gunstig ::: njaelkies
gunstig ::: buerie
gunstig ::: sjiehteles
gunstig ::: tsåalhkoeh
gunstig ::: hijven
gunstig ::: hearskoes
gunstig ::: åajvoeh
næringsrik ::: radtjoes
næringsrik ::: veaksehks
næringsrik ::: raavtehtje
næringsrik ::: raavteres
næringsrik ::: nænnoes
gledelig ::: hååkene
gledelig ::: feejjene
allmenn ::: siejhme
fleksibel ::: govjehke
sårbar ::: hiejjehts
sårbar ::: viesjies
sårbar ::: dåsmoes
føre var ::: våaroes
ambisiøs ::: eadtjohke
ambisiøs ::: rudtjege
ambisiøs ::: vïssjeles
sportslig ::: radtjoes
sportslig ::: govjehke
sportslig ::: gyvjeh
sportslig ::: sneehpes
moderat ::: sjiehteles
moderat ::: liehties
hensiktsmessig ::: sjiehteles
hensiktsmessig ::: aevhkies
hensiktsmessig ::: vihkeles
streng ::: tjamke
streng ::: veaksehks
streng ::: raavtehtje
streng ::: geerve
streng ::: garre
streng ::: raavteres
streng ::: nænnoes
kjedelig ::: håjnoes
kjedelig ::: hujnies
kjedelig ::: geerve
harmonisk ::: seadtoes
harmonisk ::: raeffies
frodig ::: ræjhkoes
frodig ::: jassijes
frodig ::: jearsoes
frodig ::: vihties
frodig ::: duvhties
frodig ::: gïsse
frodig ::: bååvteres
nåtidig ::: gaavnoes
nåtidig ::: daaletje
aktiv ::: radtjoes
aktiv ::: eadtjohke
aktiv ::: rudtjege
aktiv ::: vïssjeles
svær ::: jassijes
svær ::: jearsoes
svær ::: vihties
svær ::: gïsse
næringssvak ::: hiejjehts
næringssvak ::: viesjies
næringssvak ::: dasmoes
næringssvak ::: dåsmoes
anvendbar ::: dæjpeles
pussig ::: rovnegs
pussig ::: rovneges
negativ ::: madtege
negativ ::: nåekies
negativ ::: mådtan
negativ ::: hiejjehts
negativ ::: madtan
negativ ::: dasmoes
negativ ::: geerve
negativ ::: dåsmoes
negativ ::: nåake
usikker ::: hujnies
påfallende ::: rovnegs
påfallende ::: rovneges
rede ::: gaervies
rede ::: stïeres
rede ::: riejries
rede ::: gööles
alternativ ::: ovmese
alternativ ::: ovmessie
reell ::: aalvere
reell ::: saetnies
flekket ::: joekehth
flekket ::: joekehts-laakan
myk ::: njoetjeles
myk ::: möövhkes
identisk ::: seammaplïeres
rampet ::: jarhpoeh
rampet ::: ovnuvhtege
tilsvarende ::: seammalaakan
positiv ::: hijven-laakan
urørt ::: ellies
urørt ::: duvhties
urørt ::: heejle
regelmessig ::: jalkeds
regelmessig ::: jalke
regelmessig ::: sjyjjehke
omfattende ::: stoere
omfattende ::: vijries
omfattende ::: geljies
omfattende ::: gamte
ligegyldig ::: ealjoeh
ligegyldig ::: ealjohts
ærlig ::: eerlege
flott ::: hijven
flott ::: tjaebpies
smidig ::: radtjoes
smidig ::: jåalhkoes
smidig ::: jåalhkoeh
smidig ::: govjehke
smidig ::: gyvjeh
smidig ::: sneehpes
anvendelig ::: gyönegs
anvendelig ::: dæjpeles
pen ::: tjaebpies
optimistisk ::: hååkene
optimistisk ::: feejjene
deilig ::: njaelkies
deilig ::: åålije
deilig ::: sieties
deilig ::: hearskoes
ensartet ::: seammalaakan
ensartet ::: seammaplïeres
lav ::: ohtje
lav ::: onne
lav ::: smaave
normal ::: siejhme
spraglet ::: joekehth
spraglet ::: joekehts-laakan
ordinær ::: siejhme
ubehagelig ::: isvelihks
ubehagelig ::: geerve
korrekt ::: staeries
korrekt ::: rïekte
rimelig ::: sjiehteles
rimelig ::: aelpies
rimelig ::: liehties
legendarisk ::: daajroes
legendarisk ::: åehpies
legendarisk ::: vihties
legendarisk ::: byögkehke
legendarisk ::: byögkeles
legendarisk ::: byögke
legendarisk ::: beagkoes
universell ::: byjjes
overordnet ::: bijjie
stram ::: tjirkes-laakan
 -->
