sjørøver	mearoerapmere
fossekraft	garsefaamoe
sagbruk	saakevierhkie	 sååkesjhvierhkie
skipsverft	skïhpebigkemevierhkie
skipsfart	skïhpevalkese
kobberverk	kåahperevierhkie
jernverk	ruevtievierhkie
veinett	geajnaviermie	 geajnoeviermie
symmetri	symmetrije
folketelling	almetjelohkeme
historiker	histovrikere
omgangsskole	juhtijeskuvle
kirkebok	gærhkoegærja
tukthus	pliktegåetie
brennmerke	svirremïerhke
flyttsame	juhtijesaemie
fangeleir	faangkeleejre
barnehjem	maanahïejme
marine	marijne
gatenett	gaatenviermie
arkitekt	arkitekte
markplanlegger	laantesoejkesjæjja
byplanlegger	staaresoejkesjæjja
hjemmelaget	jïjtjedorjeme
arbeidskrevende	barkoes
jernkonstruksjon	ruevtiekonstruksjovne
lokomotiv	lokomotijve
gruvegang	gruvagohpege
telegraf	telegraafe
telegrafnett	telegraafeviermie
jernmalm	ruevtiemaalme
dampskip	roehkenasseskïhpe
industriby	industrijestaare
forurensing	deerjeldahke
oppfinner	gaavnehtæjja
arbeidsseminar	barkoeseminaare
gruppepress	dåehkie-dïedte
slep	slaepie
homofili	homofïjlije
homofil	homofïjle
bilist	bïjlevuejije
partigruppe	krirriedåehkie
fagkomité	faagemoenehtse
moteklær	daaletje vaarjoeh
førsteside	voestessæjroe
diplomatlosje	diplomatijelosje
presselosje	presselosje
stortingsrepresentant	stoerredigkietjirkije	 stoerredigkiesaadthalmetje
finansminister	finanseministere
saksgang	aamhteseöörnege
løsrive	loevenehtedh
badestrand	voejedimmesgaedtie
lokalpolitiker	lïhkesdajvepolitihkere	 voengepolitihkere
snøbrøyting	lopmeröönjeme
talerstol	håalomestovle
propaganda	propaganda
kuvøse	kuvööse
høring	govlehtimmie
invasjon	ritneme
motstandsgruppe	vuastalimmesdåehkie
terrorist	terroriste
kongeskip	gunkies-skïhpe
folkeskole	almetjeskuvle
riksrettssak	rïjhkereaktanaamhtese
stemmelokale	veeljemesijjie
unionsmerke	unijovnemïerhke
maktkamp	faamoegæmhpome
grunnlegger	tseegkije
tilskuer	vuartasjæjja
tilværelse	veasome
befolkningsvekst	almetje-jeananimmie
leilending	lååjkere
utbygging	lissietseegkeme	lissiebïgkeme
arbeidsledighetstrygd	barkohtsmaaksoe
bønneskrift	tjaalege
transportmiddel	dïeske
statsborgerskap	staaten-årroedahke
statsborger	staaten-årroje
part	paarhte
meglingsfrist	likte-mierie
pengebeløp	beetneh-åesie
idrettsstadion	gaarsjestadijumme	 gaarsjestadijove
tranebær	bealhtoen-muerjie	 gieken-muerjie	 biekeren-muerjie	 pluevien-muerjie
tannhelsetjeneste	baeniehealsoesåjhtoe	baeniesåjhtoe
volleyball	vollytjengkere
modell	modelle
porto	påastemïerhke
fryser	gilmehtahke
returporto	båastoeh-påastemïerhke
observatorium	observatorijumme
høydeforskjell	jalloejoekehtse
nedbørfelt	måekie-dajve
gatehjørne	gaatene-skaavhte
havavsetning	mearoelaahpehtsh
jordskorpeplate	eatnemen bijjieskierie
